File_name,Plate_in_file,row_A_antigen,row_B_antigen ,row_C_antigen,row_D_antigen,row_E_antigen,row_F_antigen,row_G_antigen,row_H_antigen,row_A_sample ,row_B_sample,row_C_sample ,row_D_sample,row_E_sample ,row_F_sample,row_G_sample ,row_H_sample,format,p24-file
2022-02-18-SALIVA.txt,1,p24-standard,HIV-p24,Brisavirus,Vientovirus,Coronavirus 229E,Coronavirus HKU1,Norovirus,GFP,BB-POS,501-IgA,501-IgA,501-IgA,501-IgA,501-IgA,501-IgA,501-IgA,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2022-02-18-SALIVA.txt,2,p24-standard,HIV-p24,Brisavirus,Vientovirus,Coronavirus 229E,Coronavirus HKU1,Norovirus,GFP,BB-POS,402-IgA,402-IgA,402-IgA,402-IgA,402-IgA,402-IgA,402-IgA,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2022-02-18-SALIVA.txt,3,p24-standard,HIV-p24,Brisavirus,Vientovirus,Coronavirus 229E,Coronavirus HKU1,Norovirus,GFP,BB-POS,447-IgA,447-IgA,447-IgA,447-IgA,447-IgA,447-IgA,447-IgA,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2022-02-18-SALIVA.txt,4,p24-standard,HIV-p24,Brisavirus,Vientovirus,Coronavirus 229E,Coronavirus HKU1,Norovirus,GFP,BB-POS,525-IgA,525-IgA,525-IgA,525-IgA,525-IgA,525-IgA,525-IgA,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2022-02-18-SALIVA.txt,5,p24-standard,HIV-p24,Brisavirus,Vientovirus,Coronavirus 229E,Coronavirus HKU1,Norovirus,GFP,BB-POS,239-IgA,239-IgA,239-IgA,239-IgA,239-IgA,239-IgA,239-IgA,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2022-02-18-SALIVA.txt,6,p24-standard,HIV-p24,Brisavirus,Vientovirus,Coronavirus 229E,Coronavirus HKU1,Norovirus,GFP,BB-POS,501-IgG,501-IgG,501-IgG,501-IgG,501-IgG,501-IgG,501-IgG,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2022-02-18-SALIVA.txt,7,p24-standard,HIV-p24,Brisavirus,Vientovirus,Coronavirus 229E,Coronavirus HKU1,Norovirus,GFP,BB-POS,402-IgG,402-IgG,402-IgG,402-IgG,402-IgG,402-IgG,402-IgG,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2022-02-18-SALIVA.txt,8,p24-standard,HIV-p24,Brisavirus,Vientovirus,Coronavirus 229E,Coronavirus HKU1,Norovirus,GFP,BB-POS,447-IgG,447-IgG,447-IgG,447-IgG,447-IgG,447-IgG,447-IgG,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2022-02-18-SALIVA.txt,9,p24-standard,HIV-p24,Brisavirus,Vientovirus,Coronavirus 229E,Coronavirus HKU1,Norovirus,GFP,BB-POS,525-IgG,525-IgG,525-IgG,525-IgG,525-IgG,525-IgG,525-IgG,onesample-seventantigens-3rep,neg-pos-concentrations.txt
2022-02-18-SALIVA.txt,10,p24-standard,HIV-p24,Brisavirus,Vientovirus,Coronavirus 229E,Coronavirus HKU1,Norovirus,GFP,BB-POS,239-IgG,239-IgG,239-IgG,239-IgG,239-IgG,239-IgG,239-IgG,onesample-seventantigens-3rep,neg-pos-concentrations.txt
